STATION,Station_name,DATE,LATITUDE,LONGITUDE,ELEVATION,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,relative_humidity,temperature_original,sea_level_pressure_original,relative_humidity_original,is_anomaly,anomaly_type,anomaly_id,anomaly_params
INM00043057,BOMBAY / COLABA,2024-01-01 03:00:00,18.9,72.8167,11.0,24.2,21.2,,1013.7,83.0,24.2,1013.7,83.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-01 12:00:00,18.9,72.8167,11.0,28.2,23.2,,1010.8,74.0,28.2,1010.8,74.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-02 03:00:00,18.9,72.8167,11.0,24.0,21.6,,1013.3,87.0,24.0,1013.3,87.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-02 06:00:00,18.9,72.8167,11.0,27.5,21.1,,1013.2,68.0,27.5,1013.2,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-02 12:00:00,18.9,72.8167,11.0,27.2,24.3,,1010.2,84.0,27.2,1010.2,84.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-03 03:00:00,18.9,72.8167,11.0,23.2,20.4,,1012.8,84.0,23.2,1012.8,84.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-03 06:00:00,18.9,72.8167,11.0,27.5,21.4,,1013.0,69.0,27.5,1013.0,69.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-03 12:00:00,18.9,72.8167,11.0,26.7,23.0,,1009.3,80.0,26.7,1009.3,80.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-04 03:00:00,18.9,72.8167,11.0,22.0,19.5,,1013.7,86.0,22.0,1013.7,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-04 06:00:00,18.9,72.8167,11.0,26.6,22.5,,1013.9,78.0,26.6,1013.9,78.0,False,,,
INM00043057,BOMBAY / COLABA,2024-01-04 09:00:00,18.9,72.8167,11.0,27.0,23.2,,1010.6,80.0,27.0,1010.6,80.0,False,,,
